issue,date,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,sale,pool
2026055,2026-03-06,3,4,8,10,12,16,19,22,24,26,31,49,54,55,58,63,64,67,75,79,,
2026056,2026-03-07,1,8,14,16,25,39,40,48,50,51,56,58,65,67,69,71,73,74,75,79,,
2026057,2026-03-08,4,8,12,13,17,21,26,27,30,31,35,38,43,50,52,57,60,72,79,80,,
2026058,2026-03-09,3,5,8,17,19,20,21,27,29,42,47,49,51,53,62,66,69,71,74,80,,
2026059,2026-03-10,3,10,18,22,24,26,28,30,37,41,46,47,48,51,57,63,69,70,75,76,,
2026060,2026-03-11,2,3,4,14,15,19,25,28,32,38,39,40,42,45,48,60,61,63,65,67,,
2026061,2026-03-12,4,5,6,7,13,18,20,21,28,32,34,39,40,42,44,47,50,56,75,76,,
2026062,2026-03-13,3,4,5,7,14,16,22,27,38,43,46,48,56,58,68,71,73,77,79,80,,
2026063,2026-03-14,2,4,8,9,14,30,33,35,37,38,40,47,52,59,62,65,73,75,76,79,,
2026064,2026-03-15,13,16,21,25,31,32,38,45,49,57,58,59,61,63,67,69,72,75,77,78,,
2026065,2026-03-16,1,2,4,7,9,11,14,16,24,32,34,37,48,49,50,52,53,59,63,70,,
2026066,2026-03-17,2,3,4,6,8,17,20,27,30,37,41,43,54,56,57,58,60,63,65,69,,
2026067,2026-03-18,10,11,12,13,14,16,19,23,24,26,39,42,43,50,53,61,62,66,75,80,,
2026068,2026-03-19,1,4,10,18,19,20,22,31,35,36,44,49,50,52,61,67,68,74,75,78,,
2026069,2026-03-20,1,5,6,9,15,19,21,25,31,40,47,50,54,56,59,62,65,67,72,80,,
2026070,2026-03-21,1,3,4,7,11,19,25,27,37,38,42,45,46,48,54,56,69,72,76,77,,
2026071,2026-03-22,2,3,8,12,13,14,15,21,25,29,42,44,45,46,47,48,52,58,63,66,,
2026072,2026-03-23,1,5,19,22,28,30,34,37,38,40,41,44,48,50,51,54,59,74,75,80,,
2026073,2026-03-24,2,3,6,8,9,20,26,27,29,35,52,57,64,67,73,74,75,76,79,80,,
2026074,2026-03-25,2,5,7,8,11,13,15,16,20,31,32,33,41,43,52,62,70,71,72,73,,
2026075,2026-03-26,1,4,17,18,21,22,23,24,25,30,41,47,48,50,54,55,56,57,62,78,,
2026076,2026-03-27,6,10,12,14,16,21,24,38,39,40,46,48,52,58,61,69,71,74,75,77,,
2026077,2026-03-28,3,6,19,21,24,32,36,37,44,45,51,55,58,61,62,66,71,73,74,75,,
2026078,2026-03-29,1,6,7,11,15,21,24,27,31,32,34,38,46,49,52,60,67,71,73,74,,
2026079,2026-03-30,4,10,12,23,38,39,41,44,45,50,51,55,57,60,64,66,68,73,75,76,,
2026080,2026-03-31,7,11,14,24,25,27,32,33,34,46,49,52,54,56,59,60,61,66,69,72,,
